log10Var,log10Life
-4.84E+00,3.27E+00
-4.99E+00,3.33E+00
-4.81E+00,3.35E+00
-4.37E+00,3.16E+00
-4.53E+00,3.23E+00
-4.14E+00,3.03E+00
-3.76E+00,2.80E+00
-3.81E+00,2.94E+00
-3.95E+00,3.02E+00
-4.09E+00,2.90E+00
-4.06E+00,2.94E+00
-3.95E+00,2.86E+00
-4.07E+00,2.94E+00
-3.97E+00,2.93E+00
-3.68E+00,2.84E+00
-3.62E+00,2.90E+00
-3.36E+00,2.73E+00
-3.34E+00,2.75E+00
-4.02E+00,3.01E+00
-3.92E+00,3.01E+00
-3.99E+00,2.93E+00
-3.78E+00,2.94E+00
-3.82E+00,2.93E+00
-3.83E+00,2.93E+00
-3.83E+00,2.96E+00
-3.75E+00,2.85E+00
-3.77E+00,2.94E+00
-3.65E+00,2.86E+00
-3.65E+00,2.88E+00
-3.82E+00,2.87E+00
-3.75E+00,2.85E+00
-3.65E+00,2.85E+00
-3.65E+00,2.81E+00
-3.45E+00,2.79E+00
-3.50E+00,2.80E+00
-4.07E+00,2.98E+00
-4.10E+00,3.02E+00
-3.65E+00,2.85E+00
-3.67E+00,2.81E+00
-3.43E+00,2.79E+00
-3.42E+00,2.78E+00
-2.78E+00,2.48E+00
-2.74E+00,2.17E+00
-3.70E+00,2.64E+00
-2.90E+00,2.53E+00
-3.44E+00,2.65E+00
-3.58E+00,2.68E+00
-3.29E+00,2.71E+00
-3.60E+00,2.75E+00
-3.60E+00,2.68E+00
-3.36E+00,2.66E+00
-3.24E+00,2.68E+00
-3.48E+00,2.69E+00
-3.48E+00,2.69E+00
-3.73E+00,2.69E+00
-3.36E+00,2.66E+00
-3.58E+00,2.70E+00
-3.35E+00,2.69E+00
-3.57E+00,2.71E+00
-3.44E+00,2.72E+00
-3.77E+00,2.69E+00
-3.59E+00,2.66E+00
-3.56E+00,2.67E+00
-3.74E+00,2.67E+00
-3.79E+00,2.71E+00
-3.64E+00,2.70E+00
-3.74E+00,2.68E+00
-3.73E+00,2.69E+00
-3.67E+00,2.72E+00
-3.60E+00,2.72E+00
-3.77E+00,2.70E+00
-3.47E+00,2.67E+00
-3.49E+00,2.73E+00
-3.50E+00,2.68E+00
-3.57E+00,2.67E+00
-3.45E+00,2.66E+00
-3.53E+00,2.70E+00
-3.68E+00,2.63E+00
-3.53E+00,2.67E+00
-3.33E+00,2.66E+00
-3.44E+00,2.66E+00
-3.57E+00,2.69E+00
-3.35E+00,2.63E+00
-4.06E+00,2.85E+00
-4.24E+00,3.00E+00
-4.20E+00,3.03E+00
-4.09E+00,3.05E+00
-4.16E+00,3.02E+00
-4.08E+00,2.92E+00
-3.52E+00,2.82E+00
-4.41E+00,3.26E+00
-4.11E+00,2.92E+00
-3.98E+00,3.02E+00
-4.41E+00,3.03E+00
-3.90E+00,2.91E+00
-3.95E+00,2.97E+00
-4.10E+00,2.91E+00
-4.02E+00,2.93E+00
-3.99E+00,2.94E+00
-4.60E+00,3.21E+00
-4.42E+00,3.12E+00
-4.21E+00,3.06E+00
-4.10E+00,3.06E+00
-4.09E+00,2.91E+00
-3.69E+00,2.89E+00
-4.03E+00,3.00E+00
-4.11E+00,2.92E+00
-4.09E+00,3.00E+00
-4.19E+00,3.01E+00
-4.07E+00,2.93E+00
-3.44E+00,2.73E+00
-4.03E+00,2.93E+00
-4.12E+00,2.97E+00
-3.80E+00,2.86E+00
-4.35E+00,3.11E+00
-4.24E+00,3.06E+00
-4.20E+00,3.04E+00
-4.23E+00,2.97E+00
-4.34E+00,3.29E+00
-4.45E+00,3.06E+00
-4.32E+00,2.90E+00
-4.21E+00,2.90E+00
-4.11E+00,2.97E+00
-4.44E+00,3.26E+00
